date,N,publication_date,days_since_publication,n_diff,n_diff_pct,delay
,9,2020-04-02,,,,No Data
2020-03-01,0,2020-04-02,,0,0,No Data
2020-03-02,0,2020-04-02,,0,0,No Data
2020-03-03,0,2020-04-02,,0,0,No Data
2020-03-04,0,2020-04-02,,0,0,No Data
2020-03-05,0,2020-04-02,,0,0,No Data
2020-03-06,0,2020-04-02,,0,0,No Data
2020-03-07,0,2020-04-02,,0,0,No Data
2020-03-08,0,2020-04-02,,0,0,No Data
2020-03-09,0,2020-04-02,,0,0,No Data
2020-03-10,0,2020-04-02,,0,0,No Data
2020-03-11,0,2020-04-02,,0,0,No Data
2020-03-12,0,2020-04-02,,0,0,No Data
2020-03-13,1,2020-04-02,,1,,No Data
2020-03-14,1,2020-04-02,,1,,No Data
2020-03-15,2,2020-04-02,,2,,No Data
2020-03-16,2,2020-04-02,,2,,No Data
2020-03-17,1,2020-04-02,,1,,No Data
2020-03-18,6,2020-04-02,,6,,No Data
2020-03-19,7,2020-04-02,,7,,No Data
2020-03-20,9,2020-04-02,,9,,No Data
2020-03-21,8,2020-04-02,,8,,No Data
2020-03-22,11,2020-04-02,,11,,No Data
2020-03-23,8,2020-04-02,,8,,No Data
2020-03-24,16,2020-04-02,,16,,No Data
2020-03-25,22,2020-04-02,,22,,No Data
2020-03-26,27,2020-04-02,,27,,No Data
2020-03-27,31,2020-04-02,,31,,No Data
2020-03-28,26,2020-04-02,,26,,No Data
2020-03-29,25,2020-04-02,,25,,No Data
2020-03-30,26,2020-04-02,,26,,No Data
2020-03-31,26,2020-04-02,,26,,No Data
2020-04-01,13,2020-04-02,,13,,No Data
2020-04-02,5,2020-04-02,0,5,,Same day
,12,2020-04-03,,,,No Data
2020-03-01,0,2020-04-03,33,0,0,14 Days +
2020-03-02,1,2020-04-03,32,1,,14 Days +
2020-03-03,0,2020-04-03,31,0,0,14 Days +
2020-03-04,0,2020-04-03,30,0,0,14 Days +
2020-03-05,0,2020-04-03,29,0,0,14 Days +
2020-03-06,0,2020-04-03,28,0,0,14 Days +
2020-03-07,0,2020-04-03,27,0,0,14 Days +
2020-03-08,0,2020-04-03,26,0,0,14 Days +
2020-03-09,0,2020-04-03,25,0,0,14 Days +
2020-03-10,0,2020-04-03,24,0,0,14 Days +
