date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2020-09-01",overview,K02000001,United Kingdom,5
"2020-08-31",overview,K02000001,United Kingdom,4
"2020-08-30",overview,K02000001,United Kingdom,4
"2020-08-29",overview,K02000001,United Kingdom,2
"2020-08-28",overview,K02000001,United Kingdom,7
"2020-08-27",overview,K02000001,United Kingdom,5
"2020-08-26",overview,K02000001,United Kingdom,11
"2020-08-25",overview,K02000001,United Kingdom,11
"2020-08-24",overview,K02000001,United Kingdom,7
"2020-08-23",overview,K02000001,United Kingdom,12
"2020-08-22",overview,K02000001,United Kingdom,7
"2020-08-21",overview,K02000001,United Kingdom,7
"2020-08-20",overview,K02000001,United Kingdom,6
"2020-08-19",overview,K02000001,United Kingdom,2
"2020-08-18",overview,K02000001,United Kingdom,10
"2020-08-17",overview,K02000001,United Kingdom,11
"2020-08-16",overview,K02000001,United Kingdom,4
"2020-08-15",overview,K02000001,United Kingdom,14
"2020-08-14",overview,K02000001,United Kingdom,6
"2020-08-13",overview,K02000001,United Kingdom,9
"2020-08-12",overview,K02000001,United Kingdom,7
"2020-08-11",overview,K02000001,United Kingdom,10
"2020-08-10",overview,K02000001,United Kingdom,13
"2020-08-09",overview,K02000001,United Kingdom,8
"2020-08-08",overview,K02000001,United Kingdom,14
"2020-08-07",overview,K02000001,United Kingdom,12
"2020-08-06",overview,K02000001,United Kingdom,9
"2020-08-05",overview,K02000001,United Kingdom,6
"2020-08-04",overview,K02000001,United Kingdom,15
"2020-08-03",overview,K02000001,United Kingdom,16
"2020-08-02",overview,K02000001,United Kingdom,10
"2020-08-01",overview,K02000001,United Kingdom,11
"2020-07-31",overview,K02000001,United Kingdom,14
"2020-07-30",overview,K02000001,United Kingdom,10
"2020-07-29",overview,K02000001,United Kingdom,12
"2020-07-28",overview,K02000001,United Kingdom,12
"2020-07-27",overview,K02000001,United Kingdom,11
"2020-07-26",overview,K02000001,United Kingdom,16
"2020-07-25",overview,K02000001,United Kingdom,15
"2020-07-24",overview,K02000001,United Kingdom,7
