publication_date,date,N_dead
2021-01-26,2020-02-29,0
2021-01-26,2020-03-01,0
2021-01-26,2020-03-02,1
2021-01-26,2020-03-03,2
2021-01-26,2020-03-04,0
2021-01-26,2020-03-05,3
2021-01-26,2020-03-06,0
2021-01-26,2020-03-07,0
2021-01-26,2020-03-08,3
2021-01-26,2020-03-09,5
2021-01-26,2020-03-10,3
2021-01-26,2020-03-11,8
2021-01-26,2020-03-12,13
2021-01-26,2020-03-13,16
2021-01-26,2020-03-14,22
2021-01-26,2020-03-15,32
2021-01-26,2020-03-16,46
2021-01-26,2020-03-17,52
2021-01-26,2020-03-18,68
2021-01-26,2020-03-19,74
2021-01-26,2020-03-20,109
2021-01-26,2020-03-21,131
2021-01-26,2020-03-22,165
2021-01-26,2020-03-23,186
2021-01-26,2020-03-24,237
2021-01-26,2020-03-25,302
2021-01-26,2020-03-26,360
2021-01-26,2020-03-27,398
2021-01-26,2020-03-28,436
2021-01-26,2020-03-29,507
2021-01-26,2020-03-30,586
2021-01-26,2020-03-31,661
2021-01-26,2020-04-01,767
2021-01-26,2020-04-02,806
2021-01-26,2020-04-03,839
2021-01-26,2020-04-04,905
2021-01-26,2020-04-05,915
2021-01-26,2020-04-06,892
2021-01-26,2020-04-07,999
2021-01-26,2020-04-08,1073
2021-01-26,2020-04-09,999
2021-01-26,2020-04-10,941
2021-01-26,2020-04-11,956
2021-01-26,2020-04-12,957
2021-01-26,2020-04-13,893
2021-01-26,2020-04-14,859
2021-01-26,2020-04-15,879
2021-01-26,2020-04-16,839
2021-01-26,2020-04-17,819
2021-01-26,2020-04-18,799
2021-01-26,2020-04-19,765
2021-01-26,2020-04-20,783
2021-01-26,2020-04-21,742
2021-01-26,2020-04-22,729
2021-01-26,2020-04-23,675
2021-01-26,2020-04-24,683
2021-01-26,2020-04-25,646
2021-01-26,2020-04-26,634
2021-01-26,2020-04-27,595
2021-01-26,2020-04-28,560
2021-01-26,2020-04-29,570
2021-01-26,2020-04-30,551
2021-01-26,2020-05-01,568
2021-01-26,2020-05-02,494
2021-01-26,2020-05-03,448
2021-01-26,2020-05-04,484
2021-01-26,2020-05-05,464
2021-01-26,2020-05-06,461
2021-01-26,2020-05-07,461
2021-01-26,2020-05-08,383
2021-01-26,2020-05-09,378
2021-01-26,2020-05-10,347
2021-01-26,2020-05-11,308
2021-01-26,2020-05-12,320
2021-01-26,2020-05-13,316
2021-01-26,2020-05-14,333
2021-01-26,2020-05-15,312
2021-01-26,2020-05-16,313
2021-01-26,2020-05-17,267
2021-01-26,2020-05-18,293
2021-01-26,2020-05-19,275
2021-01-26,2020-05-20,267
2021-01-26,2020-05-21,237
2021-01-26,2020-05-22,222
2021-01-26,2020-05-23,217
2021-01-26,2020-05-24,195
2021-01-26,2020-05-25,201
2021-01-26,2020-05-26,212
2021-01-26,2020-05-27,197
2021-01-26,2020-05-28,217
2021-01-26,2020-05-29,186
2021-01-26,2020-05-30,163
2021-01-26,2020-05-31,126
2021-01-26,2020-06-01,135
2021-01-26,2020-06-02,169
2021-01-26,2020-06-03,155
2021-01-26,2020-06-04,135
2021-01-26,2020-06-05,123
2021-01-26,2020-06-06,111
2021-01-26,2020-06-07,127
2021-01-26,2020-06-08,123
2021-01-26,2020-06-09,90
2021-01-26,2020-06-10,109
2021-01-26,2020-06-11,80
2021-01-26,2020-06-12,79
2021-01-26,2020-06-13,63
2021-01-26,2020-06-14,87
2021-01-26,2020-06-15,70
2021-01-26,2020-06-16,84
2021-01-26,2020-06-17,58
2021-01-26,2020-06-18,61
2021-01-26,2020-06-19,52
2021-01-26,2020-06-20,60
2021-01-26,2020-06-21,54
2021-01-26,2020-06-22,64
2021-01-26,2020-06-23,64
2021-01-26,2020-06-24,75
2021-01-26,2020-06-25,68
2021-01-26,2020-06-26,41
2021-01-26,2020-06-27,49
2021-01-26,2020-06-28,45
2021-01-26,2020-06-29,39
2021-01-26,2020-06-30,47
2021-01-26,2020-07-01,27
2021-01-26,2020-07-02,43
2021-01-26,2020-07-03,29
2021-01-26,2020-07-04,33
2021-01-26,2020-07-05,27
2021-01-26,2020-07-06,36
2021-01-26,2020-07-07,27
2021-01-26,2020-07-08,24
2021-01-26,2020-07-09,37
2021-01-26,2020-07-10,21
2021-01-26,2020-07-11,21
2021-01-26,2020-07-12,13
2021-01-26,2020-07-13,24
2021-01-26,2020-07-14,21
2021-01-26,2020-07-15,21
2021-01-26,2020-07-16,13
2021-01-26,2020-07-17,18
2021-01-26,2020-07-18,15
2021-01-26,2020-07-19,14
2021-01-26,2020-07-20,12
2021-01-26,2020-07-21,20
2021-01-26,2020-07-22,17
2021-01-26,2020-07-23,16
2021-01-26,2020-07-24,7
2021-01-26,2020-07-25,16
2021-01-26,2020-07-26,16
2021-01-26,2020-07-27,11
2021-01-26,2020-07-28,12
2021-01-26,2020-07-29,12
2021-01-26,2020-07-30,10
2021-01-26,2020-07-31,14
2021-01-26,2020-08-01,11
2021-01-26,2020-08-02,10
2021-01-26,2020-08-03,15
2021-01-26,2020-08-04,14
2021-01-26,2020-08-05,6
2021-01-26,2020-08-06,9
2021-01-26,2020-08-07,13
2021-01-26,2020-08-08,14
2021-01-26,2020-08-09,8
2021-01-26,2020-08-10,13
2021-01-26,2020-08-11,10
2021-01-26,2020-08-12,7
2021-01-26,2020-08-13,9
2021-01-26,2020-08-14,7
2021-01-26,2020-08-15,12
2021-01-26,2020-08-16,4
2021-01-26,2020-08-17,12
2021-01-26,2020-08-18,9
2021-01-26,2020-08-19,3
2021-01-26,2020-08-20,8
2021-01-26,2020-08-21,7
2021-01-26,2020-08-22,8
2021-01-26,2020-08-23,14
2021-01-26,2020-08-24,6
2021-01-26,2020-08-25,12
2021-01-26,2020-08-26,11
2021-01-26,2020-08-27,8
2021-01-26,2020-08-28,10
2021-01-26,2020-08-29,5
2021-01-26,2020-08-30,6
2021-01-26,2020-08-31,9
2021-01-26,2020-09-01,3
2021-01-26,2020-09-02,9
2021-01-26,2020-09-03,10
2021-01-26,2020-09-04,7
2021-01-26,2020-09-05,13
2021-01-26,2020-09-06,8
2021-01-26,2020-09-07,15
2021-01-26,2020-09-08,9
2021-01-26,2020-09-09,9
2021-01-26,2020-09-10,13
2021-01-26,2020-09-11,13
2021-01-26,2020-09-12,18
2021-01-26,2020-09-13,16
2021-01-26,2020-09-14,21
2021-01-26,2020-09-15,18
2021-01-26,2020-09-16,26
2021-01-26,2020-09-17,27
2021-01-26,2020-09-18,23
2021-01-26,2020-09-19,20
2021-01-26,2020-09-20,31
2021-01-26,2020-09-21,27
2021-01-26,2020-09-22,39
2021-01-26,2020-09-23,56
2021-01-26,2020-09-24,35
2021-01-26,2020-09-25,32
2021-01-26,2020-09-26,39
2021-01-26,2020-09-27,47
2021-01-26,2020-09-28,54
2021-01-26,2020-09-29,48
2021-01-26,2020-09-30,57
2021-01-26,2020-10-01,66
2021-01-26,2020-10-02,68
2021-01-26,2020-10-03,66
2021-01-26,2020-10-04,60
2021-01-26,2020-10-05,70
2021-01-26,2020-10-06,69
2021-01-26,2020-10-07,102
2021-01-26,2020-10-08,92
2021-01-26,2020-10-09,79
2021-01-26,2020-10-10,103
2021-01-26,2020-10-11,122
2021-01-26,2020-10-12,112
2021-01-26,2020-10-13,110
2021-01-26,2020-10-14,115
2021-01-26,2020-10-15,151
2021-01-26,2020-10-16,147
2021-01-26,2020-10-17,176
2021-01-26,2020-10-18,159
