C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.452662 +0200 GMT |  | begin drake_config()
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.480566 +0200 GMT |  | cache /Users/adal7067/Dropbox/My Mac (C02XD1WQJHD2)/Documents/Corona/corona_stats/.drake
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.481242 +0200 GMT |  | analyze environment
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.484718 +0200 GMT |  | get knitr hash
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.487057 +0200 GMT |  | set knitr files
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.493206 +0200 GMT |  | end drake_config()
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.493544 +0200 GMT |  | begin make()
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.538964 +0200 GMT | join_data | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.547132 +0200 GMT | list_fhm_files | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.552886 +0200 GMT | can_be_numeric | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.558192 +0200 GMT | fig_aspect_ratio_pres | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.563314 +0200 GMT | fig_height | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.570646 +0200 GMT | predict_lag | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.578423 +0200 GMT | wesanderson::wes_palette | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.593998 +0200 GMT | forcats::fct_rev | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.603878 +0200 GMT | save_plot | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.610322 +0200 GMT | load_fhm | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.622196 +0200 GMT | plot_lagged_deaths | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.635540 +0200 GMT | download_latest_fhm | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.645709 +0200 GMT | trigger_new_download | import
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.675267 +0200 GMT | latest_fhm | trigger condition
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.686259 +0200 GMT |  | isolate oudated targets
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.738013 +0200 GMT | latest_fhm | trigger condition
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:56.740725 +0200 GMT | latest_fhm | target
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:58.285183 +0200 GMT | latest_fhm | store
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:58.551124 +0200 GMT | latest_fhm | time  1.541s : 1.657s  (exec : total)
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:58.569433 +0200 GMT | fhm_files | skip
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:58.572695 +0200 GMT | death_dts | skip
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:58.581675 +0200 GMT | death_dt | skip
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:58.584316 +0200 GMT | death_prediction | skip
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:58.586977 +0200 GMT | lag_plot | skip
C02XD1WQJHD2 | 86879 | 2020-04-08 15:24:58.591553 +0200 GMT | drake_target_1 | skip
